tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_temp
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	196.17	g	5.04	1.330e-05	3	u	273.		473.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195.84	g	4.89	1.336e-05	4	u	273.		523.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.74	g	4.65	1.348e-05	5	u	273.		573.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	196.13	g	4.34	1.352e-05	6	u	273.		623.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.55	g	5.73	1.357e-05	7	u	273.		673.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195.26	g	5.91	1.355e-05	8	u	273.		723.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	196.14	g	7.21	1.330e-05	9	u	273.		773.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.99	g	4.97	1.035e-05	10	u	273.		823.0
TMK	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	190.81	g	3.77	1.658e-06	11	u	273.		848.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	196.33	g	-0.22	8.041e-06	0	u	273.		
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	192.11	g	5.52	1.035e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	192.3	g	4.68	1.051e-05	2	u	273.		423.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	192.66	g	5.31	1.060e-05	3	u	273.		473.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.86	g	5.37	1.070e-05	4	u	273.		523.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	191.89	g	6.2	1.084e-05	5	u	273.		573.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	191.64	g	8.11	1.082e-05	6	u	273.		623.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	191.67	g	7.89	1.101e-05	7	u	273.		673.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	189.81	g	8.99	1.089e-05	8	u	273.		723.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	191.61	g	8.63	1.076e-05	9	u	273.		773.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	188.89	g	8.57	8.041e-06	10	u	273.		823.0
TMK	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	187.95	g	7.2	1.557e-06	11	u	273.		848.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	208.74	g	-8.53	1.206e-05	0	u	273.		
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	195.69	g	-0.41	1.214e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195.06	g	-0.07	1.223e-05	2	u	273.		423.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	196.12	g	-0.54	1.229e-05	3	u	273.		473.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	196.12	g	-0.44	1.229e-05	4	u	273.		523.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.65	g	0.86	1.235e-05	5	u	273.		573.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	196	g	1.59	1.241e-05	6	u	273.		623.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.06	g	2.49	1.235e-05	7	u	273.		673.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.28	g	2.07	1.229e-05	8	u	273.		723.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.94	g	3.05	1.212e-05	9	u	273.		773.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	191.13	g	3.3	1.027e-05	10	u	273.		823.0
TMK	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	188.65	g	-2.43	2.969e-06	11	u	273.		848.0
TMK	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	211.49	g	-18.25	1.301e-05	0	u	273.		
TMK	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	195.91	g	-5.16	1.233e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195.45	g	-3.35	1.237e-05	2	u	273.		423.0
TMK	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	195	g	-1.97	1.245e-05	3	u	273.		473.0
TMK	This study	Timbavati	TG01-2	TG01	TG01-2	TG01-2:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	193.9	g	-1.3	1.251e-05	4	u	273.		523.0
