tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR-GEO	pmagpy-2.220	848	723	K		u		276.8	p	13.7	2.0	4	0
	This study	Timbavati	TG01-21	TG01	TG01-21	TG01-21:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR-TILT	pmagpy-2.220	848	723	K		u		276.8	p	13.7	2.0	4	100
	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR	pmagpy-2.220	848	723	K		u		279.8	p	16.0	1.3	4	-1
	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR-GEO	pmagpy-2.220	848	723	K		u		279.8	p	16.0	1.3	4	0
	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFP:DA-DIR-TILT	pmagpy-2.220	848	723	K		u		279.8	p	16.0	1.3	4	100
	This study	Timbavati	TG01-23	TG01	TG01-23	TG01-23:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	196.6	l	-0.2	1.7	3	-1
	This study	Timbavati	TG01-23	TG01	TG01-23	TG01-23:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	196.6	l	-0.2	1.7	3	0
	This study	Timbavati	TG01-23	TG01	TG01-23	TG01-23:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	196.6	l	-0.2	1.7	3	100
	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	823	K		u	0.0	190.6	l	2.0	1.7	2	-1
	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	823	K		u	0.0	190.6	l	2.0	1.7	2	0
