tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_temp
Tk	This study	Botswana	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	52.96	g	15.56	2.950e-05	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	46.91	g	9.5	2.746e-05	10	u	273.	0.0999	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	291.78	g	20.01	3.571e-04	0	u	273.		273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	318.47	g	-4.12	8.086e-04	1	u	273.		473.0
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	316.83	g	-3.76	7.348e-04	2	u	273.	0.0025	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	316.41	g	-2.03	7.154e-04	3	u	273.	0.0050	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	315.78	g	-2.44	7.364e-04	4	u	273.	0.0100	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	314.45	g	-2.58	6.016e-04	5	u	273.	0.0200	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	319.27	g	-1.65	3.725e-04	6	u	273.	0.0300	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	316.67	g	-0.03	2.013e-04	7	u	273.	0.0400	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	326.6	g	6.87	7.436e-05	8	u	273.	0.0600	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	324.48	g	9.97	4.288e-05	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	315.22	g	12.29	3.800e-05	10	u	273.	0.0999	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	345.83	g	-4.19	3.684e-05	0	u	273.		273.
