tab 	pmag_specimens																				
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Botswana 2012	Kgale Peak Sill	PW2-3	Botswana	PW2-3a	"PW2-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.70E-01	1.00E-01	T		u	4	190.8	l	20.7	7	4	0
This study	Botswana 2012	Kgale Peak Sill	PW2-3	Botswana	PW2-3a	"PW2-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.70E-01	1.00E-01	T		u	4	191.9	l	15.7	7	4	100
This study	Botswana 2012	Kgale Peak Sill	PW2-4	Botswana	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	4.9	246.9	l	15.9	3	8	-1
This study	Botswana 2012	Kgale Peak Sill	PW2-4	Botswana	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	4.9	193.6	l	20	3	8	0
This study	Botswana 2012	Kgale Peak Sill	PW2-4	Botswana	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	4.9	194.6	l	14.8	3	8	100
This study	Botswana 2012	Kgale Peak Sill	PW2-6	Botswana	PW2-6a	"PW2-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	2.7	282	l	-54.4	1	8	-1
This study	Botswana 2012	Kgale Peak Sill	PW2-6	Botswana	PW2-6a	"PW2-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	2.7	59.9	l	-9.4	1	8	0
This study	Botswana 2012	Kgale Peak Sill	PW2-6	Botswana	PW2-6a	"PW2-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	2.7	59.7	l	-3.6	1	8	100
This study	Botswana 2012	Kgale Peak Sill	PW2-7	Botswana	PW2-7a	"PW2-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	1.2	48.9	l	14.1	1.6	8	-1
This study	Botswana 2012	Kgale Peak Sill	PW2-7	Botswana	PW2-7a	"PW2-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	1.2	249.1	l	-37.8	1.6	8	0
