tab	er_specimens								
er_citation_names	er_specimen_name	er_sample_name	er_site_name	er_location_name	specimen_class	specimen_lithology	specimen_type	specimen_weight	er_expedition_name
This study	PW15-6b	PW15-6	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW16-1a	PW16-1	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0052031	Botswana 2012
This study	PW16-2a	PW16-2	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0047958	Botswana 2012
This study	PW16-3a	PW16-3	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0055683	Botswana 2012
This study	PW16-4a	PW16-4	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0056141	Botswana 2012
This study	PW16-5a	PW16-5	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0059173	Botswana 2012
This study	PW16-6a	PW16-6	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0049525	Botswana 2012
This study	PW16-7a	PW16-7	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0057407	Botswana 2012
This study	PW17-1a	PW17-1	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0051767	Botswana 2012
This study	PW17-2a	PW17-2	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0053191	Botswana 2012
This study	PW17-3a	PW17-3	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0057136	Botswana 2012
This study	PW17-4a	PW17-4	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0053381	Botswana 2012
This study	PW17-5a	PW17-5	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054162	Botswana 2012
This study	PW17-6a	PW17-6	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	0.0056805	Botswana 2012
This study	PW18-13a	PW18-13	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.005185	Botswana 2012
This study	PW18-14a	PW18-14	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0049717	Botswana 2012
This study	PW18-15a	PW18-15	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0054213	Botswana 2012
This study	PW18-16a	PW18-16	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0058383	Botswana 2012
