tab	er_samples													
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_bed_dip_direction	er_expedition_name	sample_description	sample_bed_dip	sample_dip	sample_azimuth
This study	PW14-11	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-22	59.8
This study	PW14-12	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-22	77.2
This study	PW14-2	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-16	117.8
This study	PW14-3	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-20	105.7
This study	PW14-4	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-24	83.4
This study	PW14-5	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-27	94.7
This study	PW14-6	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-19	82.1
This study	PW14-7	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-40	132.6
This study	PW14-8	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-50	96.2
This study	PW14-9	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1807	25.6896	260.32	Botswana 2012	pmag core	4	-35	114.8
This study	PW15-1	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-34	309.6
This study	PW15-2	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-26	317
This study	PW15-3	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-15	317
This study	PW15-4	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-80	202
