tab 	magic_measurements																										
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_positions	measurement_standard	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:48:13.00	20.43509066		g	25.51665959	6.14E-06	1174601	0.867		u					0.002		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:48:28.00	-6.116886352		g	24.06073037	7.08E-06	1174602	1.067		u					0.002		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:48:43.00	-3.363458472		g	27.39305297	5.97E-06	1174603	1.267		u					0.002		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:48:58.00	-16.21884337		g	47.02776212	2.82E-07	1174604	1.467		u					0.002		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:52:29.00	55.17774018		g	8.474479747	1.90E-06	1174605	0.067		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:52:44.00	57.72509566		g	4.333729169	3.63E-06	1174606	0.267		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:52:59.00	-10.76479322		g	42.25234563	4.67E-06	1174607	0.467		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:53:14.00	5.202179299		g	31.29004092	2.81E-07	1174608	0.667		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:53:29.00	20.44973928		g	25.52680741	6.16E-06	1174609	0.867		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:53:44.00	-6.156572977		g	24.07029966	7.09E-06	1174610	1.067		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:53:59.00	-3.327589829		g	27.43398586	5.98E-06	1174611	1.267		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:54:14.00	-16.16225529		g	47.00730861	2.83E-07	1174612	1.467		u					0.0025		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:57:47.00	55.20861184		g	8.476022651	1.93E-06	1174614	0.067		u					0.005		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:58:02.00	57.77569002		g	4.45206568	3.69E-06	1174615	0.267		u					0.005		
