tab 	er_expeditions
expedition_description	expedition_start_lon	er_expedition_name	expedition_start_loc	expedition_start_lat	er_citation_names
sampling Umkondo sills in southern Botswana to complement the existing number of cooling units	25.86	Botswana 2012	"-24.6878,25.8622"	-24.6878	This study
>>>>>>>>>>
tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study:10.1029/2005JB003897	-25	25.00	Botswana	Region of Umkondo sills in southern Botswana	-22	27.50
>>>>>>>>>>
tab 	er_samples
sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_type	sample_azimuth	er_location_name	er_expedition_name	sample_lat	sample_dip	sample_bed_dip	sample_lon	sample_class
281.16	This study	Dolerite	Suping Sill	PW12-6	pmag core	Sill	304.20	Botswana	Botswana 2012	-24.3279	-26	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-7	pmag core	Sill	245.70	Botswana	Botswana 2012	-24.3279	-12	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-8	pmag core	Sill	338.10	Botswana	Botswana 2012	-24.3279	-9	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW12-9	pmag core	Sill	294.50	Botswana	Botswana 2012	-24.3279	-18	10	25.53	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-1	pmag core	Sill	348.90	Botswana	Botswana 2012	-24.2558	-21	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-10	pmag core	Sill	208.40	Botswana	Botswana 2012	-24.2558	-10	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-11	pmag core	Sill	105.00	Botswana	Botswana 2012	-24.2558	-8	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-12	pmag core	Sill	207.00	Botswana	Botswana 2012	-24.2558	-10	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-13	pmag core	Sill	190.10	Botswana	Botswana 2012	-24.2558	-13	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-14	pmag core	Sill	190.40	Botswana	Botswana 2012	-24.2558	-9	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-15	pmag core	Sill	284.60	Botswana	Botswana 2012	-24.2558	-13	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-16	pmag core	Sill	331.70	Botswana	Botswana 2012	-24.2558	-9	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-2	pmag core	Sill	180.50	Botswana	Botswana 2012	-24.2558	-17	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-3	pmag core	Sill	81.00	Botswana	Botswana 2012	-24.2558	-10	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-4	pmag core	Sill	164.80	Botswana	Botswana 2012	-24.2558	-15	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-5	pmag core	Sill	128.40	Botswana	Botswana 2012	-24.2558	-17	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-6	pmag core	Sill	148.30	Botswana	Botswana 2012	-24.2558	-10	0	25.65	Intrusive
