tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:15:59:12.00	-251.9288341	g	58.93553297	7.24E-06	1233315	0.667	u	0.03		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:04:53.00	259.237307	g	12.71361665	5.57E-06	1233321	0.067	u	0.04		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:05:08.00	245.2505388	g	15.60889611	2.83E-06	1233322	0.267	u	0.04		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:05:23.00	-248.5598829	g	52.04326481	2.02E-06	1233323	0.467	u	0.04		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:05:39.00	-254.386902	g	63.06440911	4.25E-06	1233324	0.667	u	0.04		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:10:57.00	260.8810473	g	16.83085273	3.94E-06	1233329	0.067	u	0.05		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:11:12.00	247.2096431	g	16.21257475	2.34E-06	1233330	0.267	u	0.05		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:11:27.00	-262.5107093	g	69.23301415	1.36E-06	1233331	0.467	u	0.05		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:11:42.00	-257.2236238	g	67.90832791	2.56E-06	1233332	0.667	u	0.05		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:17:09.00	262.011577	g	20.93689948	2.93E-06	1233338	0.067	u	0.06		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:17:24.00	249.106848	g	16.45709693	2.01E-06	1233339	0.267	u	0.06		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:17:40.00	57.72576808	g	79.45355097	1.09E-06	1233340	0.467	u	0.06		
